264961.341345 , , , ,-0.051522,-0.002810,-0.001484 , , , ,-0.001488,0.005392,-0.057227
264961.351273 , , , ,-0.105296,-0.002304,-0.000820 , , , ,-0.003476,0.007390,-0.066188
264961.361198 , , , ,-0.140848,0.000000,-0.000087 , , , ,-0.005464,0.005392,-0.051702
264961.371124 , , , ,-0.143204,-0.000925,-0.000750 , , , ,-0.004455,0.004383,-0.021753
264961.381051 , , , ,-0.111911,0.000401,-0.000419 , , , ,-0.002457,0.006381,0.018818
264961.390977 , , , ,-0.054594,0.002182,0.000401 , , , ,0.001539,0.006371,0.052375
264961.400904 , , , ,0.003910,-0.000262,0.000349 , , , ,0.005545,0.005372,0.074149
264961.410829 , , , ,0.053128,0.002251,0.000506 , , , ,0.003547,0.006371,0.069653
264961.420757 , , , ,0.077562,0.002932,0.000192 , , , ,0.003527,0.006371,0.037584
264961.430682 , , , ,0.083619,-0.000314,0.000419 , , , ,0.003527,0.005372,0.010071
264961.440609 , , , ,0.078837,0.000401,0.000122 , , , ,0.002518,0.005372,-0.009134
264961.450535 , , , ,0.063774,0.001885,0.001326 , , , ,0.004516,0.006371,-0.021284
264961.460462 , , , ,0.040788,0.002147,-0.001100 , , , ,0.003517,0.005372,-0.028491
264961.470388 , , , ,0.008412,0.003124,0.000332 , , , ,0.000499,0.005382,-0.032854
264961.480313 , , , ,-0.024888,0.003107,-0.001780 , , , ,-0.002477,0.006381,-0.040438
264961.490240 , , , ,-0.051505,0.002601,0.000175 , , , ,-0.003476,0.006381,-0.035362
264961.500166 , , , ,-0.063303,0.002094,-0.000140 , , , ,-0.000469,0.004383,-0.016616
264961.510093 , , , ,-0.058957,0.002217,0.000052 , , , ,-0.005464,0.007380,0.002854
264961.520020 , , , ,-0.040893,0.003683,0.001449 , , , ,-0.005464,0.008379,0.017217
264961.529946 , , , ,-0.015760,0.000489,0.001553 , , , ,-0.000469,0.006371,0.028634
264961.539871 , , , ,0.008692,0.000140,-0.000052 , , , ,0.005505,0.006371,0.034179
264961.549798 , , , ,0.026965,0.000838,0.000000 , , , ,0.004495,0.005372,0.024047
264961.559724 , , , ,0.040003,-0.000663,0.001484 , , , ,0.002487,0.006371,0.015148
264961.569651 , , , ,0.047368,-0.000052,0.000279 , , , ,-0.000499,0.006371,0.008420
